userid,transaction,region,transaction_date,product_category,sell_amount,status,city,age,subscription,raw_times,email,username,price,storeid,quantity,discount,product_id,priority,base_price
U00031,TXN100031,East,2025-06-15,Sports,29529.85,Pending,Chennai,69,Free,2025-06-15 23:29:00,user31@example.com,user31,4218.55,S033,7,15,P7909,Low,4963
U00032,TXN100032,North,2026-01-10,Sports,7595.25,Refunded,Delhi,67,Free,2026-01-10 21:14:00,user32@example.com,user32,2531.75,S100,3,5,P8407,Low,2665
U00033,TXN100033,West,2025-10-08,Books,12975.0,Failed,Jaipur,23,Premium,2025-10-08 18:19:00,user33@example.com,user33,2595.0,S087,5,25,P3248,Urgent,3460
U00034,TXN100034,East,2025-07-10,Fashion,22146.0,Failed,Hyderabad,38,Free,2025-07-10 10:30:00,user34@example.com,user34,2768.25,S035,8,25,P2791,Urgent,3691
U00035,TXN100035,South,2025-06-02,Home,4649.4,Refunded,Kolkata,52,Free,2025-06-02 07:44:00,user35@example.com,user35,516.6,S012,9,30,P1917,Urgent,738
U00036,TXN100036,West,2025-04-14,Home,2437.2,Pending,Delhi,45,Free,2025-04-14 23:17:00,user36@example.com,user36,1218.6,S074,2,10,P8204,High,1354
U00037,TXN100037,North,2025-06-15,Grocery,23093.0,Pending,Bengaluru,46,Free,2025-06-15 20:03:00,user37@example.com,user37,2309.3,S016,10,30,P7506,Urgent,3299
U00038,TXN100038,East,2025-07-23,Electronics,5882.4,Pending,Jaipur,46,Free,2025-07-23 17:31:00,user38@example.com,user38,2941.2,S045,2,10,P7541,Medium,3268
U00039,TXN100039,South,2025-01-21,Grocery,15635.1,Pending,Delhi,52,Free,2025-01-21 07:46:00,user39@example.com,user39,2605.85,S053,6,5,P8098,Low,2743
U00040,TXN100040,South,2025-08-26,Home,5856.0,Refunded,Kolkata,19,Basic,2025-08-26 00:12:00,user40@example.com,user40,2928.0,S004,2,25,P4083,Urgent,3904
U00041,TXN100041,North,2025-03-10,Electronics,3605.7,Failed,Hyderabad,63,Premium,2025-03-10 00:00:00,user41@example.com,user41,1201.9,S006,3,15,P2784,High,1414
U00042,TXN100042,North,2026-04-13,Home,3176.25,Refunded,Hyderabad,31,Free,2026-04-13 18:17:00,user42@example.com,user42,453.75,S069,7,25,P6461,Low,605
U00043,TXN100043,East,2025-01-31,Electronics,448.8,Failed,Mumbai,41,Basic,2025-01-31 08:55:00,user43@example.com,user43,149.6,S053,3,15,P1850,High,176
U00044,TXN100044,South,2025-06-10,Home,7216.5,Refunded,Delhi,41,Free,2025-06-10 17:59:00,user44@example.com,user44,721.65,S018,10,15,P1854,Low,849
U00045,TXN100045,West,2025-04-01,Books,12089.0,Completed,Kolkata,63,Free,2025-04-01 10:50:00,user45@example.com,user45,1208.9,S085,10,30,P1798,High,1727
U00046,TXN100046,South,2025-01-04,Electronics,2406.4,Failed,Chennai,59,Free,2025-01-04 11:46:00,user46@example.com,user46,2406.4,S039,1,20,P9248,Urgent,3008
U00047,TXN100047,West,2025-03-30,Books,2783.5,Failed,Mumbai,47,Free,2025-03-30 06:37:00,user47@example.com,user47,2783.5,S022,1,5,P1516,Urgent,2930
U00048,TXN100048,North,2025-04-06,Home,9659.4,Pending,Jaipur,30,Premium,2025-04-06 04:56:00,user48@example.com,user48,1609.9,S053,6,15,P9375,Low,1894
U00049,TXN100049,West,2025-09-10,Fashion,23650.2,Pending,Pune,55,Free,2025-09-10 21:40:00,user49@example.com,user49,3378.6,S088,7,10,P8008,Low,3754
U00050,TXN100050,North,2026-02-12,Fashion,19422.75,Refunded,Delhi,26,Premium,2026-02-12 11:18:00,user50@example.com,user50,3884.55,S092,5,5,P6575,High,4089
U00051,TXN100051,North,2025-12-03,Home,2263.2,Pending,Bengaluru,55,Premium,2025-12-03 14:56:00,user51@example.com,user51,2263.2,S037,1,20,P8074,Urgent,2829
U00052,TXN100052,West,2025-08-02,Home,6924.0,Pending,Jaipur,27,Free,2025-08-02 22:38:00,user52@example.com,user52,865.5,S041,8,25,P8435,Medium,1154
U00053,TXN100053,South,2025-11-12,Grocery,25275.6,Pending,Hyderabad,43,Premium,2025-11-12 23:37:00,user53@example.com,user53,4212.6,S082,6,15,P2727,High,4956
U00054,TXN100054,East,2025-10-04,Electronics,1544.7,Refunded,Kolkata,18,Premium,2025-10-04 14:10:00,user54@example.com,user54,514.9,S036,3,5,P8008,High,542
U00055,TXN100055,South,2025-08-07,Books,15584.8,Completed,Jaipur,35,Premium,2025-08-07 07:56:00,user55@example.com,user55,1948.1,S007,8,30,P4254,Low,2783
U00056,TXN100056,West,2025-08-06,Sports,22200.0,Refunded,Bengaluru,66,Basic,2025-08-06 06:26:00,user56@example.com,user56,2775.0,S044,8,25,P2187,Urgent,3700
U00057,TXN100057,West,2025-05-04,Home,17843.2,Completed,Pune,59,Free,2025-05-04 08:15:00,user57@example.com,user57,2230.4,S049,8,15,P7955,High,2624
U00058,TXN100058,North,2025-09-05,Home,26390.0,Completed,Jaipur,60,Basic,2025-09-05 22:20:00,user58@example.com,user58,3770.0,S023,7,0,P6910,High,3770
U00059,TXN100059,West,2026-01-03,Fashion,1387.2,Pending,Mumbai,59,Basic,2026-01-03 13:29:00,user59@example.com,user59,462.4,S013,3,15,P6905,High,544
U00060,TXN100060,South,2025-07-20,Sports,14448.0,Failed,Kolkata,64,Free,2025-07-20 07:29:00,user60@example.com,user60,1444.8,S083,10,30,P8045,Urgent,2064
U00061,TXN100061,West,2025-10-20,Home,17293.5,Refunded,Mumbai,24,Free,2025-10-20 23:26:00,user61@example.com,user61,2470.5,S016,7,10,P2771,Medium,2745
U00062,TXN100062,North,2025-09-26,Fashion,10269.0,Refunded,Bengaluru,29,Free,2025-09-26 05:37:00,user62@example.com,user62,1467.0,S040,7,25,P3450,Urgent,1956
U00063,TXN100063,North,2025-06-04,Home,2986.8,Completed,Chennai,20,Basic,2025-06-04 15:36:00,user63@example.com,user63,497.8,S062,6,5,P7261,Urgent,524
U00064,TXN100064,East,2025-07-29,Books,4054.5,Failed,Chennai,48,Basic,2025-07-29 12:30:00,user64@example.com,user64,675.75,S040,6,25,P6638,Urgent,901
U00065,TXN100065,South,2025-12-22,Sports,21336.0,Pending,Kolkata,31,Basic,2025-12-22 15:58:00,user65@example.com,user65,3048.0,S014,7,25,P9895,High,4064
U00066,TXN100066,North,2025-08-13,Home,3162.0,Completed,Delhi,38,Basic,2025-08-13 18:42:00,user66@example.com,user66,790.5,S022,4,25,P4125,Medium,1054
U00067,TXN100067,South,2026-04-20,Home,889.5,Refunded,Delhi,50,Basic,2026-04-20 09:21:00,user67@example.com,user67,444.75,S098,2,25,P4747,Medium,593
U00068,TXN100068,East,2025-02-01,Home,12331.2,Failed,Kolkata,63,Basic,2025-02-01 10:21:00,user68@example.com,user68,2055.2,S012,6,20,P8681,Medium,2569
U00069,TXN100069,East,2025-01-03,Sports,9164.7,Failed,Kolkata,70,Free,2025-01-03 10:20:00,user69@example.com,user69,1018.3,S019,9,15,P4537,Urgent,1198
U00070,TXN100070,North,2025-07-07,Books,5052.8,Refunded,Kolkata,58,Basic,2025-07-07 17:51:00,user70@example.com,user70,2526.4,S072,2,20,P3674,High,3158
U00071,TXN100071,East,2025-04-07,Fashion,788.5,Completed,Chennai,25,Free,2025-04-07 15:56:00,user71@example.com,user71,788.5,S004,1,5,P7574,High,830
U00072,TXN100072,North,2025-09-21,Sports,11718.0,Refunded,Kolkata,36,Premium,2025-09-21 01:28:00,user72@example.com,user72,2343.6,S015,5,30,P6885,Medium,3348
U00073,TXN100073,West,2026-01-08,Home,25752.0,Refunded,Mumbai,22,Free,2026-01-08 22:08:00,user73@example.com,user73,3219.0,S028,8,0,P5407,Urgent,3219
U00074,TXN100074,North,2025-02-11,Fashion,1712.0,Pending,Bengaluru,27,Free,2025-02-11 17:44:00,user74@example.com,user74,1712.0,S094,1,0,P1155,Medium,1712
U00075,TXN100075,South,2026-01-26,Books,17461.5,Completed,Mumbai,30,Basic,2026-01-26 08:32:00,user75@example.com,user75,3492.3,S087,5,30,P3665,Medium,4989
U00076,TXN100076,South,2025-12-22,Home,4190.4,Completed,Delhi,69,Basic,2025-12-22 02:01:00,user76@example.com,user76,2095.2,S067,2,10,P4145,High,2328
U00077,TXN100077,North,2025-01-30,Grocery,11792.0,Refunded,Mumbai,35,Premium,2025-01-30 01:55:00,user77@example.com,user77,2948.0,S030,4,20,P4738,Medium,3685
U00078,TXN100078,West,2026-04-25,Grocery,3998.7,Completed,Jaipur,20,Basic,2026-04-25 15:18:00,user78@example.com,user78,3998.7,S051,1,10,P6863,High,4443
U00079,TXN100079,North,2026-02-27,Electronics,38295.0,Failed,Pune,50,Free,2026-02-27 23:57:00,user79@example.com,user79,4255.0,S048,9,0,P6650,Low,4255
U00080,TXN100080,South,2025-05-02,Electronics,3739.0,Completed,Pune,25,Basic,2025-05-02 15:18:00,user80@example.com,user80,3739.0,S050,1,0,P4905,Urgent,3739
U00081,TXN100081,South,2025-02-10,Electronics,34656.0,Failed,Hyderabad,21,Free,2025-02-10 12:40:00,user81@example.com,user81,4332.0,S053,8,0,P7245,Urgent,4332
U00082,TXN100082,East,2025-10-24,Fashion,12720.0,Failed,Delhi,66,Premium,2025-10-24 05:23:00,user82@example.com,user82,3180.0,S046,4,25,P2046,Urgent,4240
U00083,TXN100083,East,2025-04-27,Grocery,11459.7,Completed,Delhi,64,Free,2025-04-27 00:18:00,user83@example.com,user83,1909.95,S034,6,15,P3274,Low,2247
U00084,TXN100084,North,2026-04-12,Home,6842.85,Completed,Kolkata,38,Basic,2026-04-12 14:38:00,user84@example.com,user84,2280.95,S097,3,5,P5046,Low,2401
U00085,TXN100085,West,2025-04-24,Fashion,3666.6,Completed,Hyderabad,30,Basic,2025-04-24 09:05:00,user85@example.com,user85,611.1,S017,6,10,P9821,Urgent,679
U00086,TXN100086,North,2025-04-04,Fashion,14464.0,Refunded,Bengaluru,55,Free,2025-04-04 09:39:00,user86@example.com,user86,1808.0,S091,8,0,P9967,High,1808
U00087,TXN100087,East,2025-08-29,Books,14728.0,Failed,Mumbai,69,Basic,2025-08-29 21:42:00,user87@example.com,user87,1841.0,S023,8,0,P9977,Urgent,1841
U00088,TXN100088,North,2025-04-07,Books,2995.35,Pending,Chennai,69,Basic,2025-04-07 08:43:00,user88@example.com,user88,2995.35,S035,1,5,P8089,Medium,3153
U00089,TXN100089,North,2025-01-19,Home,290.7,Completed,Mumbai,41,Free,2025-01-19 17:00:00,user89@example.com,user89,290.7,S037,1,5,P9782,Medium,306
U00090,TXN100090,West,2025-07-22,Fashion,912.0,Failed,Mumbai,19,Premium,2025-07-22 21:57:00,user90@example.com,user90,912.0,S003,1,25,P5187,Medium,1216
U00091,TXN100091,South,2026-04-12,Electronics,3621.6,Pending,Mumbai,33,Premium,2026-04-12 01:31:00,user91@example.com,user91,3621.6,S047,1,10,P2019,Urgent,4024
U00092,TXN100092,West,2025-08-08,Electronics,7664.0,Completed,Bengaluru,47,Basic,2025-08-08 04:03:00,user92@example.com,user92,3832.0,S084,2,0,P5561,Low,3832
U00093,TXN100093,West,2025-11-11,Books,3025.75,Failed,Pune,23,Premium,2025-11-11 20:41:00,user93@example.com,user93,3025.75,S015,1,5,P9248,High,3185
U00094,TXN100094,West,2025-12-05,Books,20100.8,Completed,Hyderabad,65,Basic,2025-12-05 21:47:00,user94@example.com,user94,2512.6,S006,8,15,P5125,Low,2956
U00095,TXN100095,West,2026-02-25,Home,8485.4,Refunded,Delhi,26,Premium,2026-02-25 04:15:00,user95@example.com,user95,2121.35,S016,4,5,P5251,High,2233
U00096,TXN100096,South,2026-03-08,Home,31043.7,Completed,Pune,37,Basic,2026-03-08 09:46:00,user96@example.com,user96,3449.3,S056,9,15,P2398,High,4058
U00097,TXN100097,West,2025-01-25,Electronics,3402.0,Failed,Pune,43,Premium,2025-01-25 15:54:00,user97@example.com,user97,486.0,S077,7,0,P1420,Low,486
U00098,TXN100098,South,2025-06-28,Grocery,3068.8,Pending,Delhi,44,Free,2025-06-28 07:19:00,user98@example.com,user98,1534.4,S037,2,30,P9409,Low,2192
U00099,TXN100099,West,2025-05-24,Electronics,2227.2,Completed,Pune,48,Basic,2025-05-24 03:42:00,user99@example.com,user99,278.4,S054,8,20,P2143,Urgent,348
U00100,TXN100100,North,2025-02-28,Home,25131.6,Completed,Chennai,37,Premium,2025-02-28 10:36:00,user100@example.com,user100,4188.6,S082,6,10,P2899,Medium,4654
U00101,TXN100101,South,2026-01-18,Fashion,32487.0,Completed,Bengaluru,41,Basic,2026-01-18 19:59:00,user101@example.com,user101,4641.0,S100,7,0,P3043,Urgent,4641
U00102,TXN100102,South,2025-08-03,Home,820.8,Failed,Kolkata,31,Basic,2025-08-03 00:55:00,user102@example.com,user102,136.8,S054,6,5,P3570,Urgent,144
U00103,TXN100103,South,2025-01-18,Electronics,2256.8,Pending,Bengaluru,33,Free,2025-01-18 00:12:00,user103@example.com,user103,1128.4,S036,2,30,P6318,Medium,1612
U00104,TXN100104,South,2025-11-15,Fashion,6758.3,Refunded,Bengaluru,36,Premium,2025-11-15 23:15:00,user104@example.com,user104,3379.15,S071,2,5,P5259,Medium,3557
U00105,TXN100105,North,2025-03-20,Grocery,770.0,Pending,Mumbai,66,Premium,2025-03-20 22:19:00,user105@example.com,user105,154.0,S041,5,0,P4624,Urgent,154
U00106,TXN100106,West,2026-04-29,Fashion,2704.5,Refunded,Pune,38,Premium,2026-04-29 06:48:00,user106@example.com,user106,1352.25,S076,2,25,P3912,Low,1803
U00107,TXN100107,West,2026-03-25,Fashion,9462.6,Completed,Jaipur,64,Free,2026-03-25 06:31:00,user107@example.com,user107,3154.2,S004,3,30,P6974,High,4506
U00108,TXN100108,West,2025-10-15,Sports,20420.4,Refunded,Kolkata,38,Basic,2025-10-15 05:11:00,user108@example.com,user108,2917.2,S054,7,15,P4263,Urgent,3432
U00109,TXN100109,South,2025-08-08,Fashion,17350.2,Pending,Jaipur,27,Basic,2025-08-08 18:38:00,user109@example.com,user109,2891.7,S051,6,10,P8563,Medium,3213
U00110,TXN100110,West,2025-07-07,Grocery,1591.2,Pending,Hyderabad,23,Premium,2025-07-07 00:42:00,user110@example.com,user110,530.4,S037,3,20,P5578,High,663
U00111,TXN100111,North,2026-05-01,Fashion,4531.2,Pending,Delhi,18,Basic,2026-05-01 23:09:00,user111@example.com,user111,1510.4,S054,3,20,P1409,High,1888
U00112,TXN100112,North,2025-03-21,Grocery,19349.4,Refunded,Hyderabad,29,Basic,2025-03-21 13:46:00,user112@example.com,user112,2764.2,S092,7,15,P2161,Low,3252
U00113,TXN100113,West,2025-12-04,Fashion,29223.0,Refunded,Pune,52,Premium,2025-12-04 20:44:00,user113@example.com,user113,3247.0,S087,9,15,P3953,High,3820
U00114,TXN100114,North,2025-06-05,Grocery,12842.1,Completed,Hyderabad,66,Premium,2025-06-05 23:33:00,user114@example.com,user114,4280.7,S057,3,5,P1708,Low,4506
U00115,TXN100115,South,2026-03-26,Electronics,1012.5,Pending,Pune,40,Free,2026-03-26 20:46:00,user115@example.com,user115,168.75,S079,6,25,P7563,Low,225
U00116,TXN100116,West,2026-02-19,Fashion,36624.0,Pending,Hyderabad,24,Free,2026-02-19 04:10:00,user116@example.com,user116,4578.0,S061,8,0,P9357,Medium,4578
U00117,TXN100117,West,2026-04-07,Electronics,4814.4,Completed,Mumbai,52,Free,2026-04-07 07:11:00,user117@example.com,user117,2407.2,S035,2,15,P8061,Medium,2832
U00118,TXN100118,West,2025-03-23,Sports,7678.05,Pending,Bengaluru,35,Premium,2025-03-23 02:46:00,user118@example.com,user118,2559.35,S057,3,15,P2698,High,3011
U00119,TXN100119,North,2025-07-09,Sports,7816.5,Completed,Jaipur,55,Premium,2025-07-09 02:25:00,user119@example.com,user119,2605.5,S011,3,25,P9197,Low,3474
U00120,TXN100120,East,2026-04-15,Home,20706.0,Failed,Chennai,62,Free,2026-04-15 05:48:00,user120@example.com,user120,3451.0,S059,6,30,P6692,Urgent,4930
U00121,TXN100121,North,2026-03-25,Books,37602.0,Pending,Mumbai,67,Basic,2026-03-25 12:33:00,user121@example.com,user121,4178.0,S098,9,0,P6363,Low,4178
U00122,TXN100122,East,2025-10-02,Home,13613.6,Failed,Pune,50,Free,2025-10-02 01:48:00,user122@example.com,user122,1944.8,S042,7,20,P9250,High,2431
U00123,TXN100123,South,2025-06-07,Electronics,6240.0,Completed,Chennai,54,Premium,2025-06-07 06:05:00,user123@example.com,user123,624.0,S051,10,20,P7060,High,780
U00124,TXN100124,South,2026-02-21,Fashion,4702.0,Refunded,Jaipur,36,Free,2026-02-21 21:09:00,user124@example.com,user124,4702.0,S021,1,0,P1001,Urgent,4702
U00125,TXN100125,North,2025-07-12,Electronics,2730.0,Failed,Kolkata,68,Premium,2025-07-12 17:17:00,user125@example.com,user125,273.0,S061,10,25,P3347,Medium,364
U00126,TXN100126,South,2026-02-19,Fashion,10025.4,Failed,Jaipur,64,Basic,2026-02-19 12:47:00,user126@example.com,user126,1670.9,S063,6,30,P1722,Urgent,2387
U00127,TXN100127,East,2025-06-29,Electronics,9097.6,Pending,Pune,67,Free,2025-06-29 02:40:00,user127@example.com,user127,2274.4,S071,4,20,P1118,High,2843
U00128,TXN100128,North,2025-12-09,Fashion,30438.0,Pending,Chennai,69,Basic,2025-12-09 00:58:00,user128@example.com,user128,3043.8,S040,10,10,P5901,Medium,3382
U00129,TXN100129,West,2026-01-14,Grocery,14568.75,Failed,Chennai,42,Free,2026-01-14 09:23:00,user129@example.com,user129,2081.25,S055,7,25,P1076,Medium,2775
U00130,TXN100130,North,2025-08-12,Books,3961.5,Pending,Hyderabad,19,Premium,2025-08-12 19:29:00,user130@example.com,user130,1980.75,S094,2,25,P7957,Medium,2641
U00131,TXN100131,North,2025-01-06,Books,8276.8,Completed,Pune,54,Premium,2025-01-06 10:57:00,user131@example.com,user131,1034.6,S025,8,30,P6048,Low,1478
U00132,TXN100132,South,2025-08-25,Grocery,5367.75,Completed,Hyderabad,47,Basic,2025-08-25 16:43:00,user132@example.com,user132,1073.55,S012,5,15,P3626,Urgent,1263
U00133,TXN100133,West,2025-10-09,Grocery,23968.8,Failed,Jaipur,42,Basic,2025-10-09 19:53:00,user133@example.com,user133,2663.2,S078,9,20,P2365,Urgent,3329
U00134,TXN100134,West,2025-05-01,Electronics,2253.75,Pending,Jaipur,52,Free,2025-05-01 23:14:00,user134@example.com,user134,450.75,S011,5,25,P5041,Medium,601
U00135,TXN100135,North,2025-01-12,Home,3864.0,Failed,Hyderabad,29,Premium,2025-01-12 01:11:00,user135@example.com,user135,644.0,S046,6,0,P1176,Medium,644
U00136,TXN100136,South,2025-11-19,Fashion,810.0,Completed,Kolkata,33,Premium,2025-11-19 09:20:00,user136@example.com,user136,135.0,S043,6,25,P1720,Medium,180
U00137,TXN100137,East,2025-09-30,Home,18760.0,Completed,Jaipur,55,Basic,2025-09-30 00:14:00,user137@example.com,user137,4690.0,S084,4,0,P1535,Medium,4690
U00138,TXN100138,South,2025-08-05,Home,3015.0,Failed,Delhi,44,Free,2025-08-05 04:52:00,user138@example.com,user138,1507.5,S020,2,25,P9870,Urgent,2010
U00139,TXN100139,West,2025-10-02,Books,31120.0,Pending,Mumbai,20,Basic,2025-10-02 14:29:00,user139@example.com,user139,3112.0,S082,10,0,P8734,Medium,3112
U00140,TXN100140,North,2026-03-27,Fashion,6773.2,Refunded,Mumbai,60,Premium,2026-03-27 09:19:00,user140@example.com,user140,1693.3,S027,4,30,P9032,Medium,2419
U00141,TXN100141,North,2026-03-24,Sports,8337.2,Completed,Delhi,25,Basic,2026-03-24 22:35:00,user141@example.com,user141,2084.3,S031,4,5,P3411,Urgent,2194
U00142,TXN100142,South,2026-02-08,Grocery,13764.0,Refunded,Kolkata,50,Basic,2026-02-08 15:35:00,user142@example.com,user142,4588.0,S012,3,0,P7804,Medium,4588
U00143,TXN100143,East,2025-09-20,Books,28553.2,Completed,Jaipur,58,Premium,2025-09-20 06:29:00,user143@example.com,user143,3569.15,S031,8,15,P1258,Medium,4199
U00144,TXN100144,East,2026-02-21,Sports,11944.2,Completed,Mumbai,42,Basic,2026-02-21 03:02:00,user144@example.com,user144,3981.4,S048,3,15,P6378,High,4684
U00145,TXN100145,West,2025-07-26,Home,5696.0,Refunded,Hyderabad,35,Basic,2025-07-26 19:40:00,user145@example.com,user145,569.6,S049,10,20,P7763,Urgent,712
U00146,TXN100146,West,2025-07-29,Electronics,2769.2,Failed,Kolkata,55,Free,2025-07-29 09:02:00,user146@example.com,user146,1384.6,S018,2,30,P1743,Urgent,1978
U00147,TXN100147,South,2025-09-18,Books,6920.1,Failed,Jaipur,53,Basic,2025-09-18 16:03:00,user147@example.com,user147,2306.7,S033,3,10,P5906,Low,2563
U00148,TXN100148,East,2025-07-15,Fashion,6052.0,Pending,Jaipur,68,Free,2025-07-15 17:41:00,user148@example.com,user148,3026.0,S043,2,0,P3729,Urgent,3026
U00149,TXN100149,East,2025-01-08,Sports,12831.6,Completed,Delhi,26,Premium,2025-01-08 04:02:00,user149@example.com,user149,2138.6,S059,6,15,P8034,High,2516
U00150,TXN100150,North,2025-11-17,Electronics,14433.3,Completed,Chennai,61,Premium,2025-11-17 23:29:00,user150@example.com,user150,1603.7,S063,9,30,P8787,High,2291
U00151,TXN100151,South,2025-04-22,Home,2114.0,Pending,Chennai,54,Premium,2025-04-22 14:00:00,user151@example.com,user151,1057.0,S063,2,30,P9377,Low,1510
U00152,TXN100152,North,2025-02-06,Fashion,19560.0,Failed,Pune,21,Premium,2025-02-06 18:09:00,user152@example.com,user152,3260.0,S060,6,0,P8426,Urgent,3260
U00153,TXN100153,North,2025-11-30,Grocery,9913.5,Failed,Delhi,36,Free,2025-11-30 02:27:00,user153@example.com,user153,1652.25,S092,6,25,P1535,Low,2203
U00154,TXN100154,North,2025-03-29,Fashion,22848.0,Refunded,Bengaluru,55,Premium,2025-03-29 06:51:00,user154@example.com,user154,2284.8,S003,10,15,P3657,Low,2688
U00155,TXN100155,East,2025-10-18,Books,11548.8,Refunded,Hyderabad,18,Free,2025-10-18 09:01:00,user155@example.com,user155,1443.6,S090,8,10,P5125,Urgent,1604
