userid,transaction,region,transaction_date,product_category,total_amount,status,city,age,subscription,raw_times,email,username,price,storeid,quantity,discount,product_id,priority,base_price,final_price
U00085,TXN100085,West,2025-04-24,Fashion,3666.6,Completed,Hyderabad,30,Basic,2025-04-24 09:05:00,user85@example.com,user85,611.1,S017,6,10,P9821,Urgent,679.0,801.22
U00086,TXN100086,North,2025-04-04,Fashion,14464.0,Refunded,Bengaluru,55,Free,2025-04-04 09:39:00,user86@example.com,user86,1808.0,S091,8,0,P9967,High,1808.0,2133.44
U00087,TXN100087,East,2025-08-29,Books,14728.0,Failed,Mumbai,69,Basic,2025-08-29 21:42:00,user87@example.com,user87,1841.0,S023,8,0,P9977,Urgent,1841.0,2172.38
U00088,TXN100088,North,2025-04-07,Books,2995.35,Pending,Chennai,69,Basic,2025-04-07 08:43:00,user88@example.com,user88,2995.35,S035,1,5,P8089,Medium,3153.0,3720.54
U00089,TXN100089,North,2025-01-19,Home,290.7,Completed,Mumbai,41,Free,2025-01-19 17:00:00,user89@example.com,user89,290.7,S037,1,5,P9782,Medium,306.0,361.08
U00090,TXN100090,West,2025-07-22,Fashion,912.0,Failed,Mumbai,19,Premium,2025-07-22 21:57:00,user90@example.com,user90,912.0,S003,1,25,P5187,Medium,1216.0,1434.88
U00091,TXN100091,South,2026-04-12,Electronics,3621.6,Pending,Mumbai,33,Premium,2026-04-12 01:31:00,user91@example.com,user91,3621.6,S047,1,10,P2019,Urgent,4024.0,4748.32
U00092,TXN100092,West,2025-08-08,Electronics,7664.0,Completed,Bengaluru,47,Basic,2025-08-08 04:03:00,user92@example.com,user92,3832.0,S084,2,0,P5561,Low,3832.0,4521.76
U00093,TXN100093,West,2025-11-11,Books,3025.75,Failed,Pune,23,Premium,2025-11-11 20:41:00,user93@example.com,user93,3025.75,S015,1,5,P9248,High,3185.0,3758.3
U00094,TXN100094,West,2025-12-05,Books,20100.8,Completed,Hyderabad,65,Basic,2025-12-05 21:47:00,user94@example.com,user94,2512.6,S006,8,15,P5125,Low,2956.0,3488.08
U00095,TXN100095,West,2026-02-25,Home,8485.4,Refunded,Delhi,26,Premium,2026-02-25 04:15:00,user95@example.com,user95,2121.35,S016,4,5,P5251,High,2233.0,2634.94
U00096,TXN100096,South,2026-03-08,Home,31043.7,Completed,Pune,37,Basic,2026-03-08 09:46:00,user96@example.com,user96,3449.3,S056,9,15,P2398,High,4058.0,4788.44
U00097,TXN100097,West,2025-01-25,Electronics,3402.0,Failed,Pune,43,Premium,2025-01-25 15:54:00,user97@example.com,user97,486.0,S077,7,0,P1420,Low,486.0,573.48
U00098,TXN100098,South,2025-06-28,Grocery,3068.8,Pending,Delhi,44,Free,2025-06-28 07:19:00,user98@example.com,user98,1534.4,S037,2,30,P9409,Low,2192.0,2586.56
U00099,TXN100099,West,2025-05-24,Electronics,2227.2,Completed,Pune,48,Basic,2025-05-24 03:42:00,user99@example.com,user99,278.4,S054,8,20,P2143,Urgent,348.0,410.64
U00100,TXN100100,North,2025-02-28,Home,25131.6,Completed,Chennai,37,Premium,2025-02-28 10:36:00,user100@example.com,user100,4188.6,S082,6,10,P2899,Medium,4654.0,5491.72
U00101,TXN100101,South,2026-01-18,Fashion,32487.0,Completed,Bengaluru,41,Basic,2026-01-18 19:59:00,user101@example.com,user101,4641.0,S100,7,0,P3043,Urgent,4641.0,5476.38
U00102,TXN100102,South,2025-08-03,Home,820.8,Failed,Kolkata,31,Basic,2025-08-03 00:55:00,user102@example.com,user102,136.8,S054,6,5,P3570,Urgent,144.0,169.92
U00103,TXN100103,South,2025-01-18,Electronics,2256.8,Pending,Bengaluru,33,Free,2025-01-18 00:12:00,user103@example.com,user103,1128.4,S036,2,30,P6318,Medium,1612.0,1902.16
U00104,TXN100104,South,2025-11-15,Fashion,6758.3,Refunded,Bengaluru,36,Premium,2025-11-15 23:15:00,user104@example.com,user104,3379.15,S071,2,5,P5259,Medium,3557.0,4197.26
U00105,TXN100105,North,2025-03-20,Grocery,770.0,Pending,Mumbai,66,Premium,2025-03-20 22:19:00,user105@example.com,user105,154.0,S041,5,0,P4624,Urgent,154.0,181.72
U00106,TXN100106,West,2026-04-29,Fashion,2704.5,Refunded,Pune,38,Premium,2026-04-29 06:48:00,user106@example.com,user106,1352.25,S076,2,25,P3912,Low,1803.0,2127.54
U00107,TXN100107,West,2026-03-25,Fashion,9462.6,Completed,Jaipur,64,Free,2026-03-25 06:31:00,user107@example.com,user107,3154.2,S004,3,30,P6974,High,4506.0,5317.08
U00108,TXN100108,West,2025-10-15,Sports,20420.4,Refunded,Kolkata,38,Basic,2025-10-15 05:11:00,user108@example.com,user108,2917.2,S054,7,15,P4263,Urgent,3432.0,4049.76
U00109,TXN100109,South,2025-08-08,Fashion,17350.2,Pending,Jaipur,27,Basic,2025-08-08 18:38:00,user109@example.com,user109,2891.7,S051,6,10,P8563,Medium,3213.0,3791.34
U00110,TXN100110,West,2025-07-07,Grocery,1591.2,Pending,Hyderabad,23,Premium,2025-07-07 00:42:00,user110@example.com,user110,530.4,S037,3,20,P5578,High,663.0,782.34
U00111,TXN100111,North,2026-05-01,Fashion,4531.2,Pending,Delhi,18,Basic,2026-05-01 23:09:00,user111@example.com,user111,1510.4,S054,3,20,P1409,High,1888.0,2227.84
U00112,TXN100112,North,2025-03-21,Grocery,19349.4,Refunded,Hyderabad,29,Basic,2025-03-21 13:46:00,user112@example.com,user112,2764.2,S092,7,15,P2161,Low,3252.0,3837.36
U00113,TXN100113,West,2025-12-04,Fashion,29223.0,Refunded,Pune,52,Premium,2025-12-04 20:44:00,user113@example.com,user113,3247.0,S087,9,15,P3953,High,3820.0,4507.6
U00114,TXN100114,North,2025-06-05,Grocery,12842.1,Completed,Hyderabad,66,Premium,2025-06-05 23:33:00,user114@example.com,user114,4280.7,S057,3,5,P1708,Low,4506.0,5317.08
U00115,TXN100115,South,2026-03-26,Electronics,1012.5,Pending,Pune,40,Free,2026-03-26 20:46:00,user115@example.com,user115,168.75,S079,6,25,P7563,Low,225.0,265.5
U00116,TXN100116,West,2026-02-19,Fashion,36624.0,Pending,Hyderabad,24,Free,2026-02-19 04:10:00,user116@example.com,user116,4578.0,S061,8,0,P9357,Medium,4578.0,5402.04
U00117,TXN100117,West,2026-04-07,Electronics,4814.4,Completed,Mumbai,52,Free,2026-04-07 07:11:00,user117@example.com,user117,2407.2,S035,2,15,P8061,Medium,2832.0,3341.76
U00118,TXN100118,West,2025-03-23,Sports,7678.05,Pending,Bengaluru,35,Premium,2025-03-23 02:46:00,user118@example.com,user118,2559.35,S057,3,15,P2698,High,3011.0,3552.98
U00119,TXN100119,North,2025-07-09,Sports,7816.5,Completed,Jaipur,55,Premium,2025-07-09 02:25:00,user119@example.com,user119,2605.5,S011,3,25,P9197,Low,3474.0,4099.32
U00120,TXN100120,East,2026-04-15,Home,20706.0,Failed,Chennai,62,Free,2026-04-15 05:48:00,user120@example.com,user120,3451.0,S059,6,30,P6692,Urgent,4930.0,5817.4
U00121,TXN100121,North,2026-03-25,Books,37602.0,Pending,Mumbai,67,Basic,2026-03-25 12:33:00,user121@example.com,user121,4178.0,S098,9,0,P6363,Low,4178.0,4930.04
U00122,TXN100122,East,2025-10-02,Home,13613.6,Failed,Pune,50,Free,2025-10-02 01:48:00,user122@example.com,user122,1944.8,S042,7,20,P9250,High,2431.0,2868.58
U00123,TXN100123,South,2025-06-07,Electronics,6240.0,Completed,Chennai,54,Premium,2025-06-07 06:05:00,user123@example.com,user123,624.0,S051,10,20,P7060,High,780.0,920.4
U00124,TXN100124,South,2026-02-21,Fashion,4702.0,Refunded,Jaipur,36,Free,2026-02-21 21:09:00,user124@example.com,user124,4702.0,S021,1,0,P1001,Urgent,4702.0,5548.36
U00125,TXN100125,North,2025-07-12,Electronics,2730.0,Failed,Kolkata,68,Premium,2025-07-12 17:17:00,user125@example.com,user125,273.0,S061,10,25,P3347,Medium,364.0,429.52
U00126,TXN100126,South,2026-02-19,Fashion,10025.4,Failed,Jaipur,64,Basic,2026-02-19 12:47:00,user126@example.com,user126,1670.9,S063,6,30,P1722,Urgent,2387.0,2816.66
U00127,TXN100127,East,2025-06-29,Electronics,9097.6,Pending,Pune,67,Free,2025-06-29 02:40:00,user127@example.com,user127,2274.4,S071,4,20,P1118,High,2843.0,3354.74
U00128,TXN100128,North,2025-12-09,Fashion,30438.0,Pending,Chennai,69,Basic,2025-12-09 00:58:00,user128@example.com,user128,3043.8,S040,10,10,P5901,Medium,3382.0,3990.76
U00129,TXN100129,West,2026-01-14,Grocery,14568.75,Failed,Chennai,42,Free,2026-01-14 09:23:00,user129@example.com,user129,2081.25,S055,7,25,P1076,Medium,2775.0,3274.5
U00130,TXN100130,North,2025-08-12,Books,3961.5,Pending,Hyderabad,19,Premium,2025-08-12 19:29:00,user130@example.com,user130,1980.75,S094,2,25,P7957,Medium,2641.0,3116.38
U00131,TXN100131,North,2025-01-06,Books,8276.8,Completed,Pune,54,Premium,2025-01-06 10:57:00,user131@example.com,user131,1034.6,S025,8,30,P6048,Low,1478.0,1744.04
U00132,TXN100132,South,2025-08-25,Grocery,5367.75,Completed,Hyderabad,47,Basic,2025-08-25 16:43:00,user132@example.com,user132,1073.55,S012,5,15,P3626,Urgent,1263.0,1490.34
U00133,TXN100133,West,2025-10-09,Grocery,23968.8,Failed,Jaipur,42,Basic,2025-10-09 19:53:00,user133@example.com,user133,2663.2,S078,9,20,P2365,Urgent,3329.0,3928.22
U00134,TXN100134,West,2025-05-01,Electronics,2253.75,Pending,Jaipur,52,Free,2025-05-01 23:14:00,user134@example.com,user134,450.75,S011,5,25,P5041,Medium,601.0,709.18
U00135,TXN100135,North,2025-01-12,Home,3864.0,Failed,Hyderabad,29,Premium,2025-01-12 01:11:00,user135@example.com,user135,644.0,S046,6,0,P1176,Medium,644.0,759.92
U00136,TXN100136,South,2025-11-19,Fashion,810.0,Completed,Kolkata,33,Premium,2025-11-19 09:20:00,user136@example.com,user136,135.0,S043,6,25,P1720,Medium,180.0,212.4
U00137,TXN100137,East,2025-09-30,Home,18760.0,Completed,Jaipur,55,Basic,2025-09-30 00:14:00,user137@example.com,user137,4690.0,S084,4,0,P1535,Medium,4690.0,5534.2
U00138,TXN100138,South,2025-08-05,Home,3015.0,Failed,Delhi,44,Free,2025-08-05 04:52:00,user138@example.com,user138,1507.5,S020,2,25,P9870,Urgent,2010.0,2371.8
U00139,TXN100139,West,2025-10-02,Books,31120.0,Pending,Mumbai,20,Basic,2025-10-02 14:29:00,user139@example.com,user139,3112.0,S082,10,0,P8734,Medium,3112.0,3672.16
U00140,TXN100140,North,2026-03-27,Fashion,6773.2,Refunded,Mumbai,60,Premium,2026-03-27 09:19:00,user140@example.com,user140,1693.3,S027,4,30,P9032,Medium,2419.0,2854.42
U00141,TXN100141,North,2026-03-24,Sports,8337.2,Completed,Delhi,25,Basic,2026-03-24 22:35:00,user141@example.com,user141,2084.3,S031,4,5,P3411,Urgent,2194.0,2588.92
U00142,TXN100142,South,2026-02-08,Grocery,13764.0,Refunded,Kolkata,50,Basic,2026-02-08 15:35:00,user142@example.com,user142,4588.0,S012,3,0,P7804,Medium,4588.0,5413.84
U00143,TXN100143,East,2025-09-20,Books,28553.2,Completed,Jaipur,58,Premium,2025-09-20 06:29:00,user143@example.com,user143,3569.15,S031,8,15,P1258,Medium,4199.0,4954.82
U00144,TXN100144,East,2026-02-21,Sports,11944.2,Completed,Mumbai,42,Basic,2026-02-21 03:02:00,user144@example.com,user144,3981.4,S048,3,15,P6378,High,4684.0,5527.12
